after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.973000
1,0.841000,0.783000
2,0.745000,0.578000,0.895000
3,0.821000,0.681000,0.771000,0.511000
4,0.762000,0.624000,0.766000,0.798000,0.553000
5,0.659000,0.629000,0.707000,0.699000,0.757000,0.516000
6,0.617000,0.636000,0.699000,0.692000,0.665000,0.604000,0.540000
7,0.481000,0.514000,0.580000,0.711000,0.535000,0.536000,0.435000,0.886000
8,0.517000,0.565000,0.616000,0.616000,0.542000,0.545000,0.478000,0.549000,0.665000
9,0.441000,0.538000,0.647000,0.493000,0.526000,0.388000,0.391000,0.547000,0.464000,0.806000
