after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.966000
1,0.022000,0.897000
2,0.000000,0.071000,0.861000
3,0.000000,0.005000,0.022000,0.904000
4,0.000000,0.000000,0.000000,0.000000,0.900000
5,0.000000,0.000000,0.199000,0.300000,0.700000,0.806000
6,0.000000,0.000000,0.092000,0.188000,0.395000,0.402000,0.918000
7,0.000000,0.000000,0.085000,0.073000,0.186000,0.204000,0.499000,0.971000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.050000,0.070000,0.901000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.911000
