after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.648000
1,0.000000,0.813000
2,0.000000,0.000000,0.871000
3,0.000000,0.000000,0.000000,0.828000
4,0.000000,0.000000,0.000000,0.000000,0.870000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.846000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.867000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.889000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.891000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.875000
