after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.792000
1,0.000000,0.877000
2,0.000000,0.000000,0.891000
3,0.000000,0.000000,0.000000,0.796000
4,0.000000,0.000000,0.000000,0.000000,0.846000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.818000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.847000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.851000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.832000
