after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.681000
1,0.000000,0.835000
2,0.000000,0.000000,0.877000
3,0.000000,0.000000,0.000000,0.812000
4,0.000000,0.000000,0.000000,0.000000,0.866000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.844000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.869000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.890000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.900000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.864000
