after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.922000
1,0.000000,0.933000
2,0.000000,0.000000,0.928000
3,0.000000,0.000000,0.000000,0.913000
4,0.000000,0.000000,0.000000,0.000000,0.938000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.896000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.952000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.967000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.967000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.940000
