after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.712000
1,0.000000,0.829000
2,0.000000,0.000000,0.858000
3,0.000000,0.000000,0.000000,0.774000
4,0.000000,0.000000,0.000000,0.000000,0.820000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.836000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.787000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.841000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858000
