after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.590000
1,0.000000,0.692000
2,0.000000,0.000000,0.728000
3,0.000000,0.000000,0.000000,0.428000
4,0.000000,0.000000,0.000000,0.000000,0.397000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.431000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.363000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350000
