after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.669000
1,0.002000,0.806000
2,0.043000,0.016000,0.849000
3,0.041000,0.050000,0.085000,0.782000
4,0.094000,0.088000,0.107000,0.101000,0.821000
5,0.070000,0.106000,0.128000,0.101000,0.083000,0.804000
6,0.136000,0.107000,0.222000,0.173000,0.147000,0.208000,0.811000
7,0.060000,0.108000,0.138000,0.121000,0.105000,0.144000,0.102000,0.849000
8,0.079000,0.108000,0.084000,0.088000,0.092000,0.135000,0.036000,0.031000,0.844000
9,0.073000,0.076000,0.185000,0.134000,0.130000,0.067000,0.054000,0.098000,0.128000,0.831000
