after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.965000
1,0.000000,0.939000
2,0.000000,0.000000,0.921000
3,0.000000,0.000000,0.000000,0.949000
4,0.000000,0.000000,0.000000,0.000000,0.967000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.876000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.958000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.974000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.946000
