after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.676000
1,0.609000,0.497000
2,0.429000,0.461000,0.773000
3,0.370000,0.453000,0.537000,0.745000
4,0.407000,0.467000,0.499000,0.420000,0.768000
5,0.362000,0.425000,0.495000,0.428000,0.399000,0.775000
6,0.430000,0.515000,0.576000,0.462000,0.505000,0.509000,0.690000
7,0.289000,0.315000,0.374000,0.341000,0.313000,0.326000,0.253000,0.851000
8,0.343000,0.416000,0.469000,0.393000,0.343000,0.398000,0.347000,0.386000,0.745000
9,0.295000,0.311000,0.438000,0.358000,0.336000,0.328000,0.272000,0.349000,0.355000,0.748000
