after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.187000
1,0.000000,0.343000
2,0.000000,0.000000,0.367000
3,0.000000,0.000000,0.000000,0.251000
4,0.000000,0.000000,0.000000,0.000000,0.210000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.209000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.201000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165000
