after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.658000
1,0.000000,0.819000
2,0.000000,0.000000,0.867000
3,0.000000,0.000000,0.000000,0.814000
4,0.000000,0.000000,0.000000,0.000000,0.869000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.850000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.882000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.913000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.877000
