after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.753000
1,0.014000,0.883000
2,0.027000,0.025000,0.901000
3,0.012000,0.009000,0.002000,0.841000
4,0.008000,0.012000,0.006000,0.029000,0.891000
5,0.001000,0.002000,0.025000,0.001000,0.008000,0.860000
6,0.002000,0.000000,0.004000,0.018000,0.001000,0.015000,0.894000
7,0.001000,0.006000,0.031000,0.001000,0.004000,0.022000,0.000000,0.895000
8,0.000000,0.002000,0.000000,0.009000,0.000000,0.003000,0.000000,0.000000,0.907000
9,0.000000,0.001000,0.001000,0.004000,0.003000,0.002000,0.000000,0.000000,0.001000,0.884000
