after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.675000
1,0.000000,0.857000
2,0.000000,0.001000,0.883000
3,0.000000,0.000000,0.000000,0.823000
4,0.000000,0.000000,0.000000,0.001000,0.894000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.843000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.880000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.901000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.899000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.879000
