after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.976000
1,0.485000,0.964000
2,0.607000,0.185000,0.956000
3,0.665000,0.011000,0.144000,0.980000
4,0.364000,0.364000,0.127000,0.260000,0.982000
5,0.264000,0.282000,0.196000,0.024000,0.360000,0.913000
6,0.252000,0.135000,0.214000,0.251000,0.078000,0.019000,0.993000
7,0.065000,0.109000,0.122000,0.335000,0.099000,0.124000,0.033000,0.995000
8,0.100000,0.081000,0.090000,0.246000,0.132000,0.118000,0.074000,0.078000,0.994000
9,0.095000,0.027000,0.143000,0.254000,0.281000,0.036000,0.021000,0.081000,0.071000,0.966000
