after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.712000
1,0.000000,0.804000
2,0.000000,0.000000,0.810000
3,0.000000,0.000000,0.000000,0.857000
4,0.000000,0.000000,0.000000,0.000000,0.815000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.792000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.919000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.963000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.931000
