after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.988000
1,0.306000,0.962000
2,0.159000,0.003000,0.953000
3,0.066000,0.000000,0.005000,0.964000
4,0.007000,0.012000,0.002000,0.049000,0.970000
5,0.010000,0.005000,0.005000,0.005000,0.000000,0.899000
6,0.009000,0.007000,0.007000,0.038000,0.000000,0.000000,0.986000
7,0.012000,0.002000,0.003000,0.001000,0.000000,0.000000,0.000000,0.992000
8,0.026000,0.005000,0.001000,0.015000,0.000000,0.000000,0.000000,0.000000,0.980000
9,0.002000,0.003000,0.005000,0.016000,0.001000,0.000000,0.000000,0.000000,0.000000,0.962000
