after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.405000
1,0.000000,0.514000
2,0.000000,0.000000,0.406000
3,0.000000,0.000000,0.000000,0.337000
4,0.000000,0.000000,0.000000,0.000000,0.333000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.430000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.411000
