after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.671000
1,0.000000,0.838000
2,0.000000,0.000000,0.884000
3,0.000000,0.000000,0.000000,0.837000
4,0.000000,0.000000,0.000000,0.000000,0.893000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.853000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.890000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.886000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.908000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.873000
