after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.707000
1,0.000000,0.867000
2,0.000000,0.000000,0.901000
3,0.000000,0.000000,0.000000,0.845000
4,0.000000,0.000000,0.000000,0.000000,0.890000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.840000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.897000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.902000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.904000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.875000
