after_task,task_0,task_1,task_2,task_3,task_4
0,0.420000
1,0.000000,0.553000
2,0.000000,0.000000,0.450000
3,0.000000,0.000000,0.000000,0.355000
4,0.000000,0.000000,0.000000,0.000000,0.364500
