after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.680000
1,0.000000,0.834000
2,0.000000,0.000000,0.905000
3,0.000000,0.000000,0.000000,0.827000
4,0.000000,0.000000,0.000000,0.000000,0.891000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.870000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.906000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.877000
