after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.420000
1,0.000000,0.490000
2,0.000000,0.000000,0.448000
3,0.000000,0.000000,0.000000,0.277000
4,0.000000,0.000000,0.000000,0.000000,0.363000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.487000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.454000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.409000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.501000
