after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.973000
1,0.000000,0.950000
2,0.000000,0.000000,0.938000
3,0.000000,0.000000,0.000000,0.960000
4,0.000000,0.000000,0.000000,0.000000,0.963000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.900000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.981000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.974000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.956000
