after_task,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0.976000
1,0.929000,0.729000
2,0.807000,0.671000,0.917000
3,0.812000,0.660000,0.776000,0.910000
4,0.709000,0.721000,0.771000,0.824000,0.954000
5,0.588000,0.689000,0.763000,0.619000,0.801000,0.867000
6,0.660000,0.733000,0.764000,0.776000,0.662000,0.650000,0.887000
7,0.507000,0.573000,0.608000,0.711000,0.490000,0.552000,0.500000,0.982000
8,0.612000,0.626000,0.558000,0.645000,0.569000,0.531000,0.602000,0.578000,0.937000
9,0.442000,0.558000,0.745000,0.589000,0.651000,0.363000,0.538000,0.642000,0.586000,0.910000
